Dataset,Defense,Attack,Eps,AUC,Path
banknote,BB,fgsm,0.300,0.4127897025598826,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_banknote_fgsm_0.300.csv
banknote,BB,fgsm,0.600,0.6009727330969914,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_banknote_fgsm_0.600.csv
banknote,BB,apgd,0.300,0.47385255430192597,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_banknote_apgd_0.300.csv
banknote,BB,apgd,0.600,0.605698378894947,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_banknote_apgd_0.600.csv
banknote,BB,cw2,0.000,0.4292373830914372,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_banknote_cw2_0.000.csv
banknote,BB,cw2,10.000,0.5070735527094353,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_boundingbox_banknote_cw2_10.000.csv
banknote,Prob.,fgsm,0.300,0.9044108640827179,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_banknote_fgsm_0.300.csv
banknote,Prob.,fgsm,0.600,0.6009847419694181,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_banknote_fgsm_0.600.csv
banknote,Prob.,apgd,0.300,0.6385708094068411,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_banknote_apgd_0.300.csv
banknote,Prob.,apgd,0.600,0.582480871669221,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_banknote_apgd_0.600.csv
banknote,Prob.,cw2,0.000,0.9943818440689975,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_banknote_cw2_0.000.csv
banknote,Prob.,cw2,10.000,0.9096197547734488,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_prob_banknote_cw2_10.000.csv
breastcancer,DM-δ,fgsm,0.300,0.5934955046811977,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_breastcancer_fgsm_0.300.csv
breastcancer,DM-δ,fgsm,0.600,0.7716309453387877,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_breastcancer_fgsm_0.600.csv
breastcancer,DM-δ,apgd,0.300,0.6027019327060396,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_breastcancer_apgd_0.300.csv
breastcancer,DM-δ,apgd,0.600,0.7818607017670249,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_breastcancer_apgd_0.600.csv
breastcancer,DM-δ,cw2,0.000,0.5730947217855163,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_breastcancer_cw2_0.000.csv
breastcancer,DM-δ,cw2,10.000,0.6436335760853258,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_delta_breastcancer_cw2_10.000.csv
breastcancer,DM-γ,fgsm,0.300,0.5949813079441005,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_breastcancer_fgsm_0.300.csv
breastcancer,DM-γ,fgsm,0.600,0.7703918364754496,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_breastcancer_fgsm_0.600.csv
breastcancer,DM-γ,apgd,0.300,0.6097133565009685,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_breastcancer_apgd_0.300.csv
breastcancer,DM-γ,apgd,0.600,0.7825700542273548,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_breastcancer_apgd_0.600.csv
breastcancer,DM-γ,cw2,0.000,0.5774610093595842,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_breastcancer_cw2_0.000.csv
breastcancer,DM-γ,cw2,10.000,0.6456700982025041,/home/lukec/workspace/applicabilityDomain/results/numeric/mean/roc_mean_gamma_breastcancer_cw2_10.000.csv
